word,value,o_str
leaderless,100,12+5+1+4+5+18+12+5+19+19
eye-catching,100,5+25+5+0+3+1+20+3+8+9+14+7
cacophony,100,3+1+3+15+16+8+15+14+25
saintly,100,19+1+9+14+20+12+25
outflank,100,15+21+20+6+12+1+14+11
white ant,100,23+8+9+20+5+0+1+14+20
pasture,100,16+1+19+20+21+18+5
outrank,100,15+21+20+18+1+14+11
emendation,100,5+13+5+14+4+1+20+9+15+14
raillery,100,18+1+9+12+12+5+18+25
ticking-off,100,20+9+3+11+9+14+7+0+15+6+6
researcher,100,18+5+19+5+1+18+3+8+5+18
declension,100,4+5+3+12+5+14+19+9+15+14
sage-brush,100,19+1+7+5+0+2+18+21+19+8
alienation,100,1+12+9+5+14+1+20+9+15+14
prop-jet,100,16+18+15+16+0+10+5+20
fountain,100,6+15+21+14+20+1+9+14
plummet,100,16+12+21+13+13+5+20
squint,100,19+17+21+9+14+20
dry rot,100,4+18+25+0+18+15+20
forefoot,100,6+15+18+5+6+15+15+20
underdone,100,21+14+4+5+18+4+15+14+5
space probe,100,19+16+1+3+5+0+16+18+15+2+5
apropos,100,1+16+18+15+16+15+19
swept-back,100,19+23+5+16+20+0+2+1+3+11
eventual,100,5+22+5+14+20+21+1+12
holograph,100,8+15+12+15+7+18+1+16+8
botanist,100,2+15+20+1+14+9+19+20
double-bass,100,4+15+21+2+12+5+0+2+1+19+19
accumulate,100,1+3+3+21+13+21+12+1+20+5
dinginess,100,4+9+14+7+9+14+5+19+19
flurry,100,6+12+21+18+18+25
inadequacy,100,9+14+1+4+5+17+21+1+3+25
aquamarine,100,1+17+21+1+13+1+18+9+14+5
loaf sugar,100,12+15+1+6+0+19+21+7+1+18
Poor Law,100,16+15+15+18+0+12+1+23
refinery,100,18+5+6+9+14+5+18+25
appertain,100,1+16+16+5+18+20+1+9+14
reprobate,100,18+5+16+18+15+2+1+20+5
safari park,100,19+1+6+1+18+9+0+16+1+18+11
surely,100,19+21+18+5+12+25
Air Marshal,100,1+9+18+0+13+1+18+19+8+1+12
carpenter,100,3+1+18+16+5+14+20+5+18
tinselled,100,20+9+14+19+5+12+12+5+4
brain fever,100,2+18+1+9+14+0+6+5+22+5+18
clockwise,100,3+12+15+3+11+23+9+19+5
inflation,100,9+14+6+12+1+20+9+15+14
overboard,100,15+22+5+18+2+15+1+18+4
prevent,100,16+18+5+22+5+14+20
producer,100,16+18+15+4+21+3+5+18
judiciary,100,10+21+4+9+3+9+1+18+25
thorny,100,20+8+15+18+14+25
glissando,100,7+12+9+19+19+1+14+4+15
carroty,100,3+1+18+18+15+20+25
road sense,100,18+15+1+4+0+19+5+14+19+5
bewitching,100,2+5+23+9+20+3+8+9+14+7
liberator,100,12+9+2+5+18+1+20+15+18
self-drive,100,19+5+12+6+0+4+18+9+22+5
triplet,100,20+18+9+16+12+5+20
falseness,100,6+1+12+19+5+14+5+19+19
elsewhere,100,5+12+19+5+23+8+5+18+5
clementine,100,3+12+5+13+5+14+20+9+14+5
flysheet,100,6+12+25+19+8+5+5+20
life-giving,100,12+9+6+5+0+7+9+22+9+14+7
reprint,100,18+5+16+18+9+14+20
scuttle,100,19+3+21+20+20+12+5
telescope,100,20+5+12+5+19+3+15+16+5
therefore,100,20+8+5+18+5+6+15+18+5
-spirited,100,0+19+16+9+18+9+20+5+4
succour,100,19+21+3+3+15+21+18
phlebitis,100,16+8+12+5+2+9+20+9+19
boulevard,100,2+15+21+12+5+22+1+18+4
comport,100,3+15+13+16+15+18+20
mercurial,100,13+5+18+3+21+18+9+1+12
boat-train,100,2+15+1+20+0+20+18+1+9+14
distrait,100,4+9+19+20+18+1+9+20
traction,100,20+18+1+3+20+9+15+14
unbounded,100,21+14+2+15+21+14+4+5+4
yarrow,100,25+1+18+18+15+23
frisson,100,6+18+9+19+19+15+14
telephone,100,20+5+12+5+16+8+15+14+5
espouse,100,5+19+16+15+21+19+5
bouillon,100,2+15+21+9+12+12+15+14
half-crown,100,8+1+12+6+0+3+18+15+23+14
operetta,100,15+16+5+18+5+20+20+1
notional,100,14+15+20+9+15+14+1+12
sparkler,100,19+16+1+18+11+12+5+18
scrap-book,100,19+3+18+1+16+0+2+15+15+11
thirty,100,20+8+9+18+20+25
status,100,19+20+1+20+21+19
pumpkin,100,16+21+13+16+11+9+14
fluorine,100,6+12+21+15+18+9+14+5
merrily,100,13+5+18+18+9+12+25
perturb,100,16+5+18+20+21+18+2
pistachio,100,16+9+19+20+1+3+8+9+15
imbroglio,100,9+13+2+18+15+7+12+9+15
reshuffle,100,18+5+19+8+21+6+6+12+5
doughty,100,4+15+21+7+8+20+25
golliwog,100,7+15+12+12+9+23+15+7
pasty-faced,100,16+1+19+20+25+0+6+1+3+5+4
unadopted,100,21+14+1+4+15+16+20+5+4
resolved,100,18+5+19+15+12+22+5+4
whenever,100,23+8+5+14+5+22+5+18
awfully,100,1+23+6+21+12+12+25
mercantile,100,13+5+18+3+1+14+20+9+12+5
meridional,100,13+5+18+9+4+9+15+14+1+12
groggily,100,7+18+15+7+7+9+12+25
impotence,100,9+13+16+15+20+5+14+3+5
socialism,100,19+15+3+9+1+12+9+19+13
nihilist,100,14+9+8+9+12+9+19+20
stress,100,19+20+18+5+19+19
thievish,100,20+8+9+5+22+9+19+8
inefficient,100,9+14+5+6+6+9+3+9+5+14+20
candidature,100,3+1+14+4+9+4+1+20+21+18+5
beetroot,100,2+5+5+20+18+15+15+20
dry run,100,4+18+25+0+18+21+14
hard labour,100,8+1+18+4+0+12+1+2+15+21+18
truism,100,20+18+21+9+19+13
likelihood,100,12+9+11+5+12+9+8+15+15+4
Taurus,100,20+1+21+18+21+19
gift-wrap,100,7+9+6+20+0+23+18+1+16
divinely,100,4+9+22+9+14+5+12+25
tensely,100,20+5+14+19+5+12+25
progeny,100,16+18+15+7+5+14+25
quarter,100,17+21+1+18+20+5+18
syndicate,100,19+25+14+4+9+3+1+20+5
birthmark,100,2+9+18+20+8+13+1+18+11
largeness,100,12+1+18+7+5+14+5+19+19
turkey,100,20+21+18+11+5+25
gladiolus,100,7+12+1+4+9+15+12+21+19
nastily,100,14+1+19+20+9+12+25
grumpy,100,7+18+21+13+16+25
towards,100,20+15+23+1+18+4+19
publicly,100,16+21+2+12+9+3+12+25
chimpanzee,100,3+8+9+13+16+1+14+26+5+5
tetanus,100,20+5+20+1+14+21+19
inoculate,100,9+14+15+3+21+12+1+20+5
plummy,100,16+12+21+13+13+25
toby jug,100,20+15+2+25+0+10+21+7
poll-tax,100,16+15+12+12+0+20+1+24
wire-haired,100,23+9+18+5+0+8+1+9+18+5+4
answerable,100,1+14+19+23+5+18+1+2+12+5
numeracy,100,14+21+13+5+18+1+3+25
regroup,100,18+5+7+18+15+21+16
wheat germ,100,23+8+5+1+20+0+7+5+18+13
limpidly,100,12+9+13+16+9+4+12+25
thumb-nail,100,20+8+21+13+2+0+14+1+9+12
crackle-ware,100,3+18+1+3+11+12+5+0+23+1+18+5
Teddy boy,100,20+5+4+4+25+0+2+15+25
hirsute,100,8+9+18+19+21+20+5
blissful,100,2+12+9+19+19+6+21+12
