word,value,o_str
thicken,70,20+8+9+3+11+5+14
cocksure,95,3+15+3+11+19+21+18+5
chicken-run,106,3+8+9+3+11+5+14+0+18+21+14
claw-back,56,3+12+1+23+0+2+1+3+11
subversion,144,19+21+2+22+5+18+19+9+15+14
flavouring (US flavoring),269,6+12+1+22+15+21+18+9+14+7+0+0+21+19+0+6+12+1+22+15+18+9+14+7+0
snootiness,149,19+14+15+15+20+9+14+5+19+19
ampoule (US also ampule),238,1+13+16+15+21+12+5+0+0+21+19+0+1+12+19+15+0+1+13+16+21+12+5+0
masturbation,153,13+1+19+20+21+18+2+1+20+9+15+14
frigidity,107,6+18+9+7+9+4+9+20+25
sausage-dog,99,19+1+21+19+1+7+5+0+4+15+7
faucet,56,6+1+21+3+5+20
/ FB:; FB/  n (title of a) former ruler of Iran 沙（旧时伊朗国王或其称号）.,330,0+0+6+2+0+0+0+6+2+0+0+0+14+0+0+20+9+20+12+5+0+15+6+0+1+0+0+6+15+18+13+5+18+0+18+21+12+5+18+0+15+6+0+9+18+1+14+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
redolent,93,18+5+4+15+12+5+14+20
malpractice,101,13+1+12+16+18+1+3+20+9+3+5
border,62,2+15+18+4+5+18
"democratization, -isation",260,4+5+13+15+3+18+1+20+9+26+1+20+9+15+14+0+0+0+9+19+1+20+9+15+14
take off,64,20+1+11+5+0+15+6+6
volte-face,89,22+15+12+20+5+0+6+1+3+5
retaining wall,145,18+5+20+1+9+14+9+14+7+0+23+1+12+12
insanely,99,9+14+19+1+14+5+12+25
woke,54,23+15+11+5
"/ FR:(r); FRr/ v (phr v) shore sth up support sth with a wooden beam, etc propped against it （以支柱等）支撑: shore up the side of an old house to stop it falling down 支撑旧屋墙壁以防倒塌 * (fig 比喻) She used this evidence to shore up her argument. 她用该证据来支持自己的论点.",1918,0+0+6+18+0+0+18+0+0+0+6+18+18+0+0+22+0+0+16+8+18+0+22+0+0+19+8+15+18+5+0+19+20+8+0+21+16+0+19+21+16+16+15+18+20+0+19+20+8+0+23+9+20+8+0+1+0+23+15+15+4+5+14+0+2+5+1+13+0+0+5+20+3+0+16+18+15+16+16+5+4+0+1+7+1+9+14+19+20+0+9+20+0+0+0+0+0+0+0+0+0+0+0+19+8+15+18+5+0+21+16+0+20+8+5+0+19+9+4+5+0+15+6+0+1+14+0+15+12+4+0+8+15+21+19+5+0+20+15+0+19+20+15+16+0+9+20+0+6+1+12+12+9+14+7+0+4+15+23+14+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+6+9+7+0+0+0+0+0+19+8+5+0+21+19+5+4+0+20+8+9+19+0+5+22+9+4+5+14+3+5+0+20+15+0+19+8+15+18+5+0+21+16+0+8+5+18+0+1+18+7+21+13+5+14+20+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
forthcoming,128,6+15+18+20+8+3+15+13+9+14+7
get on,61,7+5+20+0+15+14
intimidate,104,9+14+20+9+13+9+4+1+20+5
bolt-hole,89,2+15+12+20+0+8+15+12+5
intermediate-range (ballistic) missile,341,9+14+20+5+18+13+5+4+9+1+20+5+0+18+1+14+7+5+0+0+2+1+12+12+9+19+20+9+3+0+0+13+9+19+19+9+12+5
watchfully,131,23+1+20+3+8+6+21+12+12+25
karat,51,11+1+18+1+20
trade-in,71,20+18+1+4+5+0+9+14
lack,27,12+1+3+11
attenuation,140,1+20+20+5+14+21+1+20+9+15+14
quiz-master,149,17+21+9+26+0+13+1+19+20+5+18
almond paste,120,1+12+13+15+14+4+0+16+1+19+20+5
-gram,39,0+7+18+1+13
arbitrarily,133,1+18+2+9+20+18+1+18+9+12+25
