word,value,o_str
"/ 5kR:sIt; `kRrsIt/ n close-fitting undergarment worn to shape the body, or support it in case of injury （为衬托身体曲线而穿的）紧身内衣; （为支撑受到损伤的身体而穿的）紧身胸衣.",1054,0+0+0+11+18+0+19+9+20+0+0+0+11+18+18+19+9+20+0+0+14+0+3+12+15+19+5+0+6+9+20+20+9+14+7+0+21+14+4+5+18+7+1+18+13+5+14+20+0+23+15+18+14+0+20+15+0+19+8+1+16+5+0+20+8+5+0+2+15+4+25+0+0+15+18+0+19+21+16+16+15+18+20+0+9+20+0+9+14+0+3+1+19+5+0+15+6+0+9+14+10+21+18+25+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
simply,94,19+9+13+16+12+25
botanical,77,2+15+20+1+14+9+3+1+12
insalubrious,160,9+14+19+1+12+21+2+18+9+15+21+19
cross-reference,153,3+18+15+19+19+0+18+5+6+5+18+5+14+3+5
riot shield,119,18+9+15+20+0+19+8+9+5+12+4
en route,98,5+14+0+18+15+21+20+5
droop,68,4+18+15+15+16
electric razor,153,5+12+5+3+20+18+9+3+0+18+1+26+15+18
several,82,19+5+22+5+18+1+12
retributive,149,18+5+20+18+9+2+21+20+9+22+5
acrimoniously,174,1+3+18+9+13+15+14+9+15+21+19+12+25
bowel,57,2+15+23+5+12
salaciously,137,19+1+12+1+3+9+15+21+19+12+25
prophet,98,16+18+15+16+8+5+20
deficiency,83,4+5+6+9+3+9+5+14+3+25
casuistry,135,3+1+19+21+9+19+20+18+25
/ kEn5kCkFn; kEn`kBkFEn/ n (a) [U] concocting 调制; 编造; 捏造. (b) [C] thing that is concocted; (esp liquid) mixture 配制而成的物品; （尤指液体的）混合物: Do you expect me to drink this vile concoction? 你难道想让我喝这种乌七八糟的东西?,1214,0+0+11+5+14+0+11+3+11+6+14+0+0+11+5+14+0+11+2+11+6+5+14+0+0+14+0+0+1+0+0+0+21+0+0+3+15+14+3+15+3+20+9+14+7+0+0+0+0+0+0+0+0+0+0+0+0+0+0+2+0+0+0+3+0+0+20+8+9+14+7+0+20+8+1+20+0+9+19+0+3+15+14+3+15+3+20+5+4+0+0+0+5+19+16+0+12+9+17+21+9+4+0+0+13+9+24+20+21+18+5+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+4+15+0+25+15+21+0+5+24+16+5+3+20+0+13+5+0+20+15+0+4+18+9+14+11+0+20+8+9+19+0+22+9+12+5+0+3+15+14+3+15+3+20+9+15+14+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
"/ kEn5tR:Fn; kEn`tRrFEn/ (a) [U] contortingor being contorted (esp of the face or body) 扭曲, 扭歪, 走样（尤指脸部或躯体）. (b) [C] instance or result of this 扭曲; 扭歪; 走样: the contortions of a yoga expert 瑜伽高手的柔软动作.",1376,0+0+11+5+14+0+20+18+0+6+14+0+0+11+5+14+0+20+18+18+6+5+14+0+0+0+1+0+0+0+21+0+0+3+15+14+20+15+18+20+9+14+7+15+18+0+2+5+9+14+7+0+3+15+14+20+15+18+20+5+4+0+0+5+19+16+0+15+6+0+20+8+5+0+6+1+3+5+0+15+18+0+2+15+4+25+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+2+0+0+0+3+0+0+9+14+19+20+1+14+3+5+0+15+18+0+18+5+19+21+12+20+0+15+6+0+20+8+9+19+0+0+0+0+0+0+0+0+0+0+0+0+0+20+8+5+0+3+15+14+20+15+18+20+9+15+14+19+0+15+6+0+1+0+25+15+7+1+0+5+24+16+5+18+20+0+0+0+0+0+0+0+0+0+0+0
snowman,99,19+14+15+23+13+1+14
beheld,36,2+5+8+5+12+4
Blimp,52,2+12+9+13+16
variety store,177,22+1+18+9+5+20+25+0+19+20+15+18+5
skit,59,19+11+9+20
scarlet fever,134,19+3+1+18+12+5+20+0+6+5+22+5+18
fan heater,78,6+1+14+0+8+5+1+20+5+18
intuit,93,9+14+20+21+9+20
raffia,41,18+1+6+6+9+1
idealistically,141,9+4+5+1+12+9+19+20+9+3+1+12+12+25
carousel (US carrousel),246,3+1+18+15+21+19+5+12+0+0+21+19+0+3+1+18+18+15+21+19+5+12+0
claret,59,3+12+1+18+5+20
temporarily,152,20+5+13+16+15+18+1+18+9+12+25
second,60,19+5+3+15+14+4
sternness,133,19+20+5+18+14+14+5+19+19
magnanimously,164,13+1+7+14+1+14+9+13+15+21+19+12+25
gentile,72,7+5+14+20+9+12+5
pang,38,16+1+14+7
tense,63,20+5+14+19+5
filly,64,6+9+12+12+25
unflaggingly,135,21+14+6+12+1+7+7+9+14+7+12+25
siesta,73,19+9+5+19+20+1
suddenly,104,19+21+4+4+5+14+12+25
disarming,94,4+9+19+1+18+13+9+14+7
maiden name,79,13+1+9+4+5+14+0+14+1+13+5
death-trap,93,4+5+1+20+8+0+20+18+1+16
sartorial,113,19+1+18+20+15+18+9+1+12
crudely,88,3+18+21+4+5+12+25
superiority complex,263,19+21+16+5+18+9+15+18+9+20+25+0+3+15+13+16+12+5+24
"theorize, theorise",205,20+8+5+15+18+9+26+5+0+0+20+8+5+15+18+9+19+5
ladybird,75,12+1+4+25+2+9+18+4
scald,39,19+3+1+12+4
wino,61,23+9+14+15
sweetie,86,19+23+5+5+20+9+5
nudge,51,14+21+4+7+5
saviour (US savior),229,19+1+22+9+15+21+18+0+0+21+19+0+19+1+22+9+15+18+0
grand finale,91,7+18+1+14+4+0+6+9+14+1+12+5
distract,94,4+9+19+20+18+1+3+20
checked,39,3+8+5+3+11+5+4
given name,90,7+9+22+5+14+0+14+1+13+5
duple time,105,4+21+16+12+5+0+20+9+13+5
rejoinder,98,18+5+10+15+9+14+4+5+18
agriculture,135,1+7+18+9+3+21+12+20+21+18+5
mutinously,169,13+21+20+9+14+15+21+19+12+25
oatcake,56,15+1+20+3+1+11+5
liquorice (US licorice),223,12+9+17+21+15+18+9+3+5+0+0+21+19+0+12+9+3+15+18+9+3+5+0
/ 9vIndI5keIFn; 9vIndE`keFEn/ n (fml 文) (a) [U] vindicating or being vindicated （对所受到的责难或嫌疑的）澄清; 证实: speak in vindication of one's conduct 澄清自己的行为所受到的怀疑 * the vindication of her claim 她称有权得到的事物之业经证实. (b) [C] instance of this （对所受到的责难或嫌疑的）澄清; 证实: The result was a vindication of all our efforts. 这一结果表明我们的一切努力是必要的.,1778,0+0+0+22+9+14+4+9+0+11+5+9+6+14+0+0+0+22+9+14+4+5+0+11+5+6+5+14+0+0+14+0+0+6+13+12+0+0+0+0+0+1+0+0+0+21+0+0+22+9+14+4+9+3+1+20+9+14+7+0+15+18+0+2+5+9+14+7+0+22+9+14+4+9+3+1+20+5+4+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+19+16+5+1+11+0+9+14+0+22+9+14+4+9+3+1+20+9+15+14+0+15+6+0+15+14+5+0+19+0+3+15+14+4+21+3+20+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+20+8+5+0+22+9+14+4+9+3+1+20+9+15+14+0+15+6+0+8+5+18+0+3+12+1+9+13+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+2+0+0+0+3+0+0+9+14+19+20+1+14+3+5+0+15+6+0+20+8+9+19+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+20+8+5+0+18+5+19+21+12+20+0+23+1+19+0+1+0+22+9+14+4+9+3+1+20+9+15+14+0+15+6+0+1+12+12+0+15+21+18+0+5+6+6+15+18+20+19+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
lascivious,130,12+1+19+3+9+22+9+15+21+19
genteel,68,7+5+14+20+5+5+12
beef tea,44,2+5+5+6+0+20+5+1
press-gallery,157,16+18+5+19+19+0+7+1+12+12+5+18+25
modification,118,13+15+4+9+6+9+3+1+20+9+15+14
look at sth,121,12+15+15+11+0+1+20+0+19+20+8
cardiologist,132,3+1+18+4+9+15+12+15+7+9+19+20
skip,55,19+11+9+16
scrofula,95,19+3+18+15+6+21+12+1
local colour,127,12+15+3+1+12+0+3+15+12+15+21+18
fraudulence,110,6+18+1+21+4+21+12+5+14+3+5
public utility,179,16+21+2+12+9+3+0+21+20+9+12+9+20+25
run-down,109,18+21+14+0+4+15+23+14
hawthorn,107,8+1+23+20+8+15+18+14
candidature,100,3+1+14+4+9+4+1+20+21+18+5
ova,38,15+22+1
extol,76,5+24+20+15+12
prowl,84,16+18+15+23+12
astrological,132,1+19+20+18+15+12+15+7+9+3+1+12
parlour (US parlor),221,16+1+18+12+15+21+18+0+0+21+19+0+16+1+18+12+15+18+0
undaunted,104,21+14+4+1+21+14+20+5+4
"/ 5kQstEm; `kQstEm/ adj [attrib 作定语] made as the buyer specifies, rather than as a standard model 定做的: a custom car 定制的汽车.",871,0+0+0+11+17+19+20+5+13+0+0+0+11+17+19+20+5+13+0+0+1+4+10+0+0+1+20+20+18+9+2+0+0+0+0+0+0+13+1+4+5+0+1+19+0+20+8+5+0+2+21+25+5+18+0+19+16+5+3+9+6+9+5+19+0+0+18+1+20+8+5+18+0+20+8+1+14+0+1+19+0+1+0+19+20+1+14+4+1+18+4+0+13+15+4+5+12+0+0+0+0+0+0+1+0+3+21+19+20+15+13+0+3+1+18+0+0+0+0+0+0+0
oft-times,107,15+6+20+0+20+9+13+5+19
"pearl-diver (also `pearl-fisher, pearler)",349,16+5+1+18+12+0+4+9+22+5+18+0+0+1+12+19+15+0+0+16+5+1+18+12+0+6+9+19+8+5+18+0+0+16+5+1+18+12+5+18+0
J,10,10
dishearteningly,170,4+9+19+8+5+1+18+20+5+14+9+14+7+12+25
translation,143,20+18+1+14+19+12+1+20+9+15+14
abaft,30,1+2+1+6+20
doctoral,88,4+15+3+20+15+18+1+12
"/ 5kEUsaIn; `kosaIn/ n (abbr 缩写 cos) (mathematics 数) in a right-angled triangle, the ratio of the length of a side adjacent to one of the acute angles to the length of the hypotenuse 余弦. Cf 参看 sine, tangent  2.",1587,0+0+0+11+5+21+19+1+9+14+0+0+0+11+15+19+1+9+14+0+0+14+0+0+1+2+2+18+0+0+0+0+3+15+19+0+0+0+13+1+20+8+5+13+1+20+9+3+19+0+0+0+0+9+14+0+1+0+18+9+7+8+20+0+1+14+7+12+5+4+0+20+18+9+1+14+7+12+5+0+0+20+8+5+0+18+1+20+9+15+0+15+6+0+20+8+5+0+12+5+14+7+20+8+0+15+6+0+1+0+19+9+4+5+0+1+4+10+1+3+5+14+20+0+20+15+0+15+14+5+0+15+6+0+20+8+5+0+1+3+21+20+5+0+1+14+7+12+5+19+0+20+15+0+20+8+5+0+12+5+14+7+20+8+0+15+6+0+20+8+5+0+8+25+16+15+20+5+14+21+19+5+0+0+0+0+0+3+6+0+0+0+0+19+9+14+5+0+0+20+1+14+7+5+14+20+0+0+0+0
civil liberty,146,3+9+22+9+12+0+12+9+2+5+18+20+25
sick-bay,70,19+9+3+11+0+2+1+25
transparent,146,20+18+1+14+19+16+1+18+5+14+20
onshore,94,15+14+19+8+15+18+5
frenzied,87,6+18+5+14+26+9+5+4
forced landing,112,6+15+18+3+5+4+0+12+1+14+4+9+14+7
cal,16,3+1+12
estd,48,5+19+20+4
cathode ray,100,3+1+20+8+15+4+5+0+18+1+25
-lith,49,0+12+9+20+8
oil rig,70,15+9+12+0+18+9+7
universally,158,21+14+9+22+5+18+19+1+12+12+25
knead,35,11+14+5+1+4
wart,62,23+1+18+20
staircase (also `stairway),258,19+20+1+9+18+3+1+19+5+0+0+1+12+19+15+0+0+19+20+1+9+18+23+1+25+0
push-bike,91,16+21+19+8+0+2+9+11+5
magnate,61,13+1+7+14+1+20+5
pep,37,16+5+16
thirteen,99,20+8+9+18+20+5+5+14
bidet,40,2+9+4+5+20
instead of,93,9+14+19+20+5+1+4+0+15+6
dappled,58,4+1+16+16+12+5+4
blood bank,76,2+12+15+15+4+0+2+1+14+11
helpfulness,137,8+5+12+16+6+21+12+14+5+19+19
meant,53,13+5+1+14+20
coexist,95,3+15+5+24+9+19+20
morning sickness,189,13+15+18+14+9+14+7+0+19+9+3+11+14+5+19+19
"immobilization, immobilisation",327,9+13+13+15+2+9+12+9+26+1+20+9+15+14+0+0+9+13+13+15+2+9+12+9+19+1+20+9+15+14
boozer,81,2+15+15+26+5+18
borage,48,2+15+18+1+7+5
intellecttually,191,9+14+20+5+12+12+5+3+20+20+21+1+12+12+25
monkey,83,13+15+14+11+5+25
pre-eminence,107,16+18+5+0+5+13+9+14+5+14+3+5
power politics,180,16+15+23+5+18+0+16+15+12+9+20+9+3+19
sewage farm,98,19+5+23+1+7+5+0+6+1+18+13
refectory,115,18+5+6+5+3+20+15+18+25
rival,62,18+9+22+1+12
borderline,102,2+15+18+4+5+18+12+9+14+5
cross-breed,108,3+18+15+19+19+0+2+18+5+5+4
disenchantment,149,4+9+19+5+14+3+8+1+14+20+13+5+14+20
flex,47,6+12+5+24
refreshment,131,18+5+6+18+5+19+8+13+5+14+20
garden,49,7+1+18+4+5+14
hollow,85,8+15+12+12+15+23
"drop-hammer, drop-forge, drop-press",345,4+18+15+16+0+8+1+13+13+5+18+0+0+4+18+15+16+0+6+15+18+7+5+0+0+4+18+15+16+0+16+18+5+19+19
-worthy,109,0+23+15+18+20+8+25
debug,39,4+5+2+21+7
draughtsman,126,4+18+1+21+7+8+20+19+13+1+14
briny,68,2+18+9+14+25
manumit,91,13+1+14+21+13+9+20
tub,43,20+21+2
habit-forming,122,8+1+2+9+20+0+6+15+18+13+9+14+7
modesty,101,13+15+4+5+19+20+25
stroll,96,19+20+18+15+12+12
-ling,42,0+12+9+14+7
helicopter,111,8+5+12+9+3+15+16+20+5+18
stiletto heel,150,19+20+9+12+5+20+20+15+0+8+5+5+12
gormless,108,7+15+18+13+12+5+19+19
optics,82,15+16+20+9+3+19
stow,77,19+20+15+23
horsy,85,8+15+18+19+25
personification,173,16+5+18+19+15+14+9+6+9+3+1+20+9+15+14
music published on separate sheets and not bound in a book 活页乐谱.,542,13+21+19+9+3+0+16+21+2+12+9+19+8+5+4+0+15+14+0+19+5+16+1+18+1+20+5+0+19+8+5+5+20+19+0+1+14+4+0+14+15+20+0+2+15+21+14+4+0+9+14+0+1+0+2+15+15+11+0+0+0+0+0+0
reiterate,101,18+5+9+20+5+18+1+20+5
trafficator,117,20+18+1+6+6+9+3+1+20+15+18
overfly,103,15+22+5+18+6+12+25
demi-,31,4+5+13+9+0
unchecked,74,21+14+3+8+5+3+11+5+4
disseminate,118,4+9+19+19+5+13+9+14+1+20+5
friend,56,6+18+9+5+14+4
Christmas cake,130,3+8+18+9+19+20+13+1+19+0+3+1+11+5
crabby,51,3+18+1+2+2+25
anticipatory,151,1+14+20+9+3+9+16+1+20+15+18+25
mysteriousness,221,13+25+19+20+5+18+9+15+21+19+14+5+19+19
gonna,51,7+15+14+14+1
Ltd,36,12+20+4
the Civil Service,169,20+8+5+0+3+9+22+9+12+0+19+5+18+22+9+3+5
crown prince,138,3+18+15+23+14+0+16+18+9+14+3+5
hide-out (US also hideaway),245,8+9+4+5+0+15+21+20+0+0+21+19+0+1+12+19+15+0+8+9+4+5+1+23+1+25+0
sp,35,19+16
leading edge,73,12+5+1+4+9+14+7+0+5+4+7+5
waffle-iron,109,23+1+6+6+12+5+0+9+18+15+14
po-faced,50,16+15+0+6+1+3+5+4
"hospitalize, hospitalise",273,8+15+19+16+9+20+1+12+9+26+5+0+0+8+15+19+16+9+20+1+12+9+19+5
scanty,82,19+3+1+14+20+25
allegation,96,1+12+12+5+7+1+20+9+15+14
stile,65,19+20+9+12+5
waverer,92,23+1+22+5+18+5+18
graphology,124,7+18+1+16+8+15+12+15+7+25
teaspoon,105,20+5+1+19+16+15+15+14
paed(o)- (US ped(o)-),121,16+1+5+4+0+15+0+0+0+0+21+19+0+16+5+4+0+15+0+0+0
bridegroom,106,2+18+9+4+5+7+18+15+15+13
automatic pilot,175,1+21+20+15+13+1+20+9+3+0+16+9+12+15+20
prepare,79,16+18+5+16+1+18+5
trendily,107,20+18+5+14+4+9+12+25
myself,80,13+25+19+5+12+6
KO,26,11+15
mainspring,120,13+1+9+14+19+16+18+9+14+7
"deferment, deferral",159,4+5+6+5+18+13+5+14+20+0+0+4+5+6+5+18+18+1+12
dim,26,4+9+13
Finnish,79,6+9+14+14+9+19+8
mud pack,69,13+21+4+0+16+1+3+11
censorious,138,3+5+14+19+15+18+9+15+21+19
-spheric (also -spherical),216,0+19+16+8+5+18+9+3+0+0+1+12+19+15+0+0+19+16+8+5+18+9+3+1+12+0
deflationary,130,4+5+6+12+1+20+9+15+14+1+18+25
anarchist,93,1+14+1+18+3+8+9+19+20
blacksmith,98,2+12+1+3+11+19+13+9+20+8
gutta-percha,120,7+21+20+20+1+0+16+5+18+3+8+1
facade,20,6+1+3+1+4+5
perfumer,102,16+5+18+6+21+13+5+18
"/ 5FQtE(r); `FQtL/ n  1 movable panel or screen that can be closed over a window to keep out light or thieves 活动的窗板或窗帘; 百叶窗; 遮板: The shop-front is fitted with rolling shutters. 那商店的店面装有卷动门帘.  2 device that opens to allow light to come through the lens of a camera （照相机镜头的）快门.  3 (idm 习语) put up the `shutters (infml 口) stop doing business at the end of the day or permanently 停止营业（一日结束时的或永久性的）: After managing the shop for thirty years she decided it was time to put up the shutters. 她经营这个商店已三十年了, 认为应该停业了.",3895,0+0+0+6+17+20+5+0+18+0+0+0+0+6+17+20+12+0+0+14+0+0+0+0+13+15+22+1+2+12+5+0+16+1+14+5+12+0+15+18+0+19+3+18+5+5+14+0+20+8+1+20+0+3+1+14+0+2+5+0+3+12+15+19+5+4+0+15+22+5+18+0+1+0+23+9+14+4+15+23+0+20+15+0+11+5+5+16+0+15+21+20+0+12+9+7+8+20+0+15+18+0+20+8+9+5+22+5+19+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+20+8+5+0+19+8+15+16+0+6+18+15+14+20+0+9+19+0+6+9+20+20+5+4+0+23+9+20+8+0+18+15+12+12+9+14+7+0+19+8+21+20+20+5+18+19+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+4+5+22+9+3+5+0+20+8+1+20+0+15+16+5+14+19+0+20+15+0+1+12+12+15+23+0+12+9+7+8+20+0+20+15+0+3+15+13+5+0+20+8+18+15+21+7+8+0+20+8+5+0+12+5+14+19+0+15+6+0+1+0+3+1+13+5+18+1+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+9+4+13+0+0+0+0+0+16+21+20+0+21+16+0+20+8+5+0+0+19+8+21+20+20+5+18+19+0+0+9+14+6+13+12+0+0+0+0+19+20+15+16+0+4+15+9+14+7+0+2+21+19+9+14+5+19+19+0+1+20+0+20+8+5+0+5+14+4+0+15+6+0+20+8+5+0+4+1+25+0+15+18+0+16+5+18+13+1+14+5+14+20+12+25+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+1+6+20+5+18+0+13+1+14+1+7+9+14+7+0+20+8+5+0+19+8+15+16+0+6+15+18+0+20+8+9+18+20+25+0+25+5+1+18+19+0+19+8+5+0+4+5+3+9+4+5+4+0+9+20+0+23+1+19+0+20+9+13+5+0+20+15+0+16+21+20+0+21+16+0+20+8+5+0+19+8+21+20+20+5+18+19+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
insensible,108,9+14+19+5+14+19+9+2+12+5
sicken,61,19+9+3+11+5+14
"lollipop man (fem 阴性作 lollipop woman, lollipop lady)",481,12+15+12+12+9+16+15+16+0+13+1+14+0+0+6+5+13+0+0+0+0+0+12+15+12+12+9+16+15+16+0+23+15+13+1+14+0+0+12+15+12+12+9+16+15+16+0+12+1+4+25+0
proprietary,161,16+18+15+16+18+9+5+20+1+18+25
reverse gear,123,18+5+22+5+18+19+5+0+7+5+1+18
LP,28,12+16
catholic,71,3+1+20+8+15+12+9+3
/ kEn5kR:dEns; kEn`kRrdns/ n alphabeticalindex of the words used by an author or in a book （作家所使用的或书籍中的）按字母顺序排列的索引: a `Bible concordance 《圣经》词语索引 * a concordance to Shakespeare 莎士比亚词语索引.,1147,0+0+11+5+14+0+11+18+0+4+5+14+19+0+0+11+5+14+0+11+18+18+4+14+19+0+0+14+0+1+12+16+8+1+2+5+20+9+3+1+12+9+14+4+5+24+0+15+6+0+20+8+5+0+23+15+18+4+19+0+21+19+5+4+0+2+25+0+1+14+0+1+21+20+8+15+18+0+15+18+0+9+14+0+1+0+2+15+15+11+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+1+0+0+2+9+2+12+5+0+3+15+14+3+15+18+4+1+14+3+5+0+0+0+0+0+0+0+0+0+0+0+0+1+0+3+15+14+3+15+18+4+1+14+3+5+0+20+15+0+19+8+1+11+5+19+16+5+1+18+5+0+0+0+0+0+0+0+0+0+0
disagreeableness,145,4+9+19+1+7+18+5+5+1+2+12+5+14+5+19+19
sozzled,107,19+15+26+26+12+5+4
psychologist,168,16+19+25+3+8+15+12+15+7+9+19+20
well-built,116,23+5+12+12+0+2+21+9+12+20
gauntness,120,7+1+21+14+20+14+5+19+19
durable,63,4+21+18+1+2+12+5
achy,37,1+3+8+25
hook-nosed,106,8+15+15+11+0+14+15+19+5+4
no neg,55,14+15+0+14+5+7
stylist,124,19+20+25+12+9+19+20
"/ 5rININ; `rININ/ adj (also ,wringing `wet) (of clothes, etc) so wet that a lot of water can be wrung out （指衣物等）湿得可拧出许多水来的.",901,0+0+0+18+9+14+9+14+0+0+0+18+9+14+9+14+0+0+1+4+10+0+0+1+12+19+15+0+0+23+18+9+14+7+9+14+7+0+0+23+5+20+0+0+0+15+6+0+3+12+15+20+8+5+19+0+0+5+20+3+0+0+19+15+0+23+5+20+0+20+8+1+20+0+1+0+12+15+20+0+15+6+0+23+1+20+5+18+0+3+1+14+0+2+5+0+23+18+21+14+7+0+15+21+20+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
divert,78,4+9+22+5+18+20
tap-root,105,20+1+16+0+18+15+15+20
cavil,47,3+1+22+9+12
gimbals,63,7+9+13+2+1+12+19
"atomizer, -iser",158,1+20+15+13+9+26+5+18+0+0+0+9+19+5+18
beauteous,109,2+5+1+21+20+5+15+21+19
stupidity,143,19+20+21+16+9+4+9+20+25
quarter-light,156,17+21+1+18+20+5+18+0+12+9+7+8+20
dictionary,118,4+9+3+20+9+15+14+1+18+25
persecutor,140,16+5+18+19+5+3+21+20+15+18
the Great Lakes,132,20+8+5+0+7+18+5+1+20+0+12+1+11+5+19
thee,38,20+8+5+5
transshipment (also transhipment),380,20+18+1+14+19+19+8+9+16+13+5+14+20+0+0+1+12+19+15+0+20+18+1+14+19+8+9+16+13+5+14+20+0
"/ -klI; -klI/ adv  1 in an ironic manner 用反语或讽刺的方式: He smiled ironically. 他微笑中带有讽刺意味.  2 it seems ironic (that) 具有讽刺意味的（是...）: Ironically, most people came to watch the match on the day it poured with rain. 老天爷好像成心捉弄人, 很多人前来看比赛却偏偏下起瓢泼大雨.",1408,0+0+0+11+12+9+0+0+0+11+12+9+0+0+1+4+22+0+0+0+0+9+14+0+1+14+0+9+18+15+14+9+3+0+13+1+14+14+5+18+0+0+0+0+0+0+0+0+0+0+0+0+8+5+0+19+13+9+12+5+4+0+9+18+15+14+9+3+1+12+12+25+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+9+20+0+19+5+5+13+19+0+9+18+15+14+9+3+0+0+20+8+1+20+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+9+18+15+14+9+3+1+12+12+25+0+0+13+15+19+20+0+16+5+15+16+12+5+0+3+1+13+5+0+20+15+0+23+1+20+3+8+0+20+8+5+0+13+1+20+3+8+0+15+14+0+20+8+5+0+4+1+25+0+9+20+0+16+15+21+18+5+4+0+23+9+20+8+0+18+1+9+14+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
